title,type,genre,mood_tags,description,emotional_tone,after_watch_suggests,combined
Euphoria,web series,"teen drama, intense","intense, raw, real, emotional, teen, heavy","Teenagers navigate trauma, identity, love, and addiction in an unfiltered raw world.","raw, heavy, real, emotional, intense","raw teen drama, intense emotional series","intense, raw, real, emotional, teen, heavy raw, heavy, real, emotional, intense raw teen drama, intense emotional series Teenagers navigate trauma, identity, love, and addiction in an unfiltered raw world."
Your Lie in April,anime,"music, romance, drama","emotional, sad, beautiful, bittersweet, moving",A piano prodigy who lost his ability to hear music meets a violinist who changes his world.,"melancholic, beautiful, bittersweet","something healing, beautiful, or equally emotional","emotional, sad, beautiful, bittersweet, moving melancholic, beautiful, bittersweet something healing, beautiful, or equally emotional A piano prodigy who lost his ability to hear music meets a violinist who changes his world."
Death Note,anime,"thriller, psychological","thrilling, dark, intellectual, gripping",A student finds a supernatural notebook that kills anyone whose name is written in it.,"tense, dark, intellectual","psychological thriller, moral dilemma, dark","thrilling, dark, intellectual, gripping tense, dark, intellectual psychological thriller, moral dilemma, dark A student finds a supernatural notebook that kills anyone whose name is written in it."
Haikyuu,anime,"sports, motivational","motivating, energetic, uplifting, fun",A high school volleyball team works together to reach nationals despite their differences.,"uplifting, energetic, warm","sports anime, team spirit, motivational","motivating, energetic, uplifting, fun uplifting, energetic, warm sports anime, team spirit, motivational A high school volleyball team works together to reach nationals despite their differences."
Fullmetal Alchemist Brotherhood,anime,"action, adventure, drama","epic, emotional, deep, adventurous, fulfilling",Two brothers seek the philosophers stone to restore their bodies after a failed alchemy experiment.,"hopeful, emotional, fulfilling","epic adventure, emotional depth, fulfilling endings","epic, emotional, deep, adventurous, fulfilling hopeful, emotional, fulfilling epic adventure, emotional depth, fulfilling endings Two brothers seek the philosophers stone to restore their bodies after a failed alchemy experiment."
Another,anime,"horror, mystery, gore","creepy, gory, mysterious, unsettling, dark",A transfer student discovers his new class is cursed and students keep dying mysteriously.,"creepy, dark, gory, unsettling","gore, horror, dark mystery, creepy themes","creepy, gory, mysterious, unsettling, dark creepy, dark, gory, unsettling gore, horror, dark mystery, creepy themes A transfer student discovers his new class is cursed and students keep dying mysteriously."
The Silent Patient,book,"psychological, thriller, mystery","gripping, plot twist, psychological, tense",A celebrity therapist goes missing and her patient becomes the prime suspect in a gripping thriller.,"tense, shocking, psychological","psychological thriller, plot twist, gripping mystery","gripping, plot twist, psychological, tense tense, shocking, psychological psychological thriller, plot twist, gripping mystery A celebrity therapist goes missing and her patient becomes the prime suspect in a gripping thriller."
Verity,book,"thriller, dark, mystery","confusing, open-ended, dark, twisty, unsettling",A true crime writer uncovers terrifying secrets about the wife of a bestselling author.,"dark, confusing, open-ended, unsettling","open ended mystery, dark thriller, confusing but good","confusing, open-ended, dark, twisty, unsettling dark, confusing, open-ended, unsettling open ended mystery, dark thriller, confusing but good A true crime writer uncovers terrifying secrets about the wife of a bestselling author."
The Song of Achilles,book,"queer, historical, romance, tragedy","beautiful, sad, queer, emotional, devastating","The story of Achilles and Patroclus told through love, war, and tragedy in ancient Greece.","beautiful, devastating, queer, emotional","queer romance, beautiful writing, emotional tragedy","beautiful, sad, queer, emotional, devastating beautiful, devastating, queer, emotional queer romance, beautiful writing, emotional tragedy The story of Achilles and Patroclus told through love, war, and tragedy in ancient Greece."
Jujutsu Kaisen,anime,"action, dark, supernatural","action, fun, dark, entertaining, intense",Sorcerers battle cursed spirits in a dark supernatural world filled with powerful characters.,"exciting, dark, fun, entertaining","dark supernatural action, intense and entertaining","action, fun, dark, entertaining, intense exciting, dark, fun, entertaining dark supernatural action, intense and entertaining Sorcerers battle cursed spirits in a dark supernatural world filled with powerful characters."
The Housemaid,book,"thriller, dark, mystery","fun, plot twist, gripping, thrilling",A woman takes a job as a housemaid for a wealthy family and uncovers dark secrets.,"fun, shocking, thrilling, satisfying","plot twist thriller, dark mystery, gripping read","fun, plot twist, gripping, thrilling fun, shocking, thrilling, satisfying plot twist thriller, dark mystery, gripping read A woman takes a job as a housemaid for a wealthy family and uncovers dark secrets."
Assassination Classroom,anime,"comedy, action, emotional","fun, entertaining, emotional, good characters, lighthearted",A class of students must kill their octopus teacher who plans to destroy the world.,"warm, funny, emotional, entertaining","fun entertaining anime, good characters, lighthearted action","fun, entertaining, emotional, good characters, lighthearted warm, funny, emotional, entertaining fun entertaining anime, good characters, lighthearted action A class of students must kill their octopus teacher who plans to destroy the world."
Owari no Seraph,anime,"dark fantasy, supernatural, action","dark, engaging, good character design, intense",In a post-apocalyptic world vampires rule and a boy joins a vampire extermination squad.,"dark, intense, engaging, complex","dark fantasy, strong character design, engaging story","dark, engaging, good character design, intense dark, intense, engaging, complex dark fantasy, strong character design, engaging story In a post-apocalyptic world vampires rule and a boy joins a vampire extermination squad."
In Spectre,anime,"mystery, romance, supernatural","fun, entertaining, mystery, supernatural, light",A girl who can see supernatural beings teams up with a half-human half-yokai to solve mysteries.,"light, fun, mysterious, warm","light mystery, supernatural, fun and entertaining","fun, entertaining, mystery, supernatural, light light, fun, mysterious, warm light mystery, supernatural, fun and entertaining A girl who can see supernatural beings teams up with a half-human half-yokai to solve mysteries."
Black Butler,anime,"dark, mystery, supernatural","entertaining, dark, good character design, mysterious",An orphan becomes the servant of a demon butler who has sworn to avenge his family.,"dark, mysterious, entertaining, gothic","gothic dark anime, good aesthetics, mysterious","entertaining, dark, good character design, mysterious dark, mysterious, entertaining, gothic gothic dark anime, good aesthetics, mysterious An orphan becomes the servant of a demon butler who has sworn to avenge his family."
Horimiya,anime,"romance, slice of life, comedy","lighthearted, fun, rom-com, warm, feel-good",A popular girl and an introverted boy fall in love navigating high school life together.,"warm, light, romantic, feel-good","slice of life, lighthearted, warm romance","lighthearted, fun, rom-com, warm, feel-good warm, light, romantic, feel-good slice of life, lighthearted, warm romance A popular girl and an introverted boy fall in love navigating high school life together."
The Boy and the Heron,movie,"fantasy, mystery, adventure","mysterious, beautiful, emotional, dreamy","A boy travels to a fantastical world and confronts grief, identity, and what it means to live.","dreamy, mysterious, emotional, beautiful","mysterious emotional, Ghibli-like, beautiful storytelling","mysterious, beautiful, emotional, dreamy dreamy, mysterious, emotional, beautiful mysterious emotional, Ghibli-like, beautiful storytelling A boy travels to a fantastical world and confronts grief, identity, and what it means to live."
When Marnie Was There,movie,"emotional, mystery, drama","emotional, mysterious, quiet, beautiful, moving",A lonely girl discovers an old mansion and a mysterious girl named Marnie from the past.,"quiet, emotional, mysterious, moving","quiet emotional mystery, beautiful animation, moving story","emotional, mysterious, quiet, beautiful, moving quiet, emotional, mysterious, moving quiet emotional mystery, beautiful animation, moving story A lonely girl discovers an old mansion and a mysterious girl named Marnie from the past."
Up on the Poppy Hill,movie,"romance, historical, slice of life","cute, warm, emotional, nostalgic, bittersweet","A girl and boy navigate life, love, and family in post-war Japan with warmth and nostalgia.","warm, nostalgic, cute, bittersweet","nostalgic Ghibli films, warm slice of life, gentle romance","cute, warm, emotional, nostalgic, bittersweet warm, nostalgic, cute, bittersweet nostalgic Ghibli films, warm slice of life, gentle romance A girl and boy navigate life, love, and family in post-war Japan with warmth and nostalgia."
Perfect Blue,movie,"psychological, horror, thriller","traumatizing, dark, psychological, unsettling, intense",A pop idol is stalked and her sense of reality begins to shatter in a psychological nightmare.,"traumatizing, dark, unsettling, psychological","psychological horror, reality-bending thriller, dark anime","traumatizing, dark, psychological, unsettling, intense traumatizing, dark, unsettling, psychological psychological horror, reality-bending thriller, dark anime A pop idol is stalked and her sense of reality begins to shatter in a psychological nightmare."
Wonder Egg Priority,anime,"psychological, dark, magical","sad, emotional, dark, heavy, meaningful",Girls fight to bring back their dead friends through a dark magical world with heavy consequences.,"sad, heavy, dark, meaningful, emotional","emotional healing anime, something lighter and warmer","sad, emotional, dark, heavy, meaningful sad, heavy, dark, meaningful, emotional emotional healing anime, something lighter and warmer Girls fight to bring back their dead friends through a dark magical world with heavy consequences."
Charlotte,anime,"action, supernatural, emotional","fun, emotional, supernatural, bittersweet, wave of emotions",A boy gains supernatural powers after a meteor shower and must decide what to do with them.,"fun, bittersweet, emotional, supernatural","supernatural emotional anime, bittersweet endings","fun, emotional, supernatural, bittersweet, wave of emotions fun, bittersweet, emotional, supernatural supernatural emotional anime, bittersweet endings A boy gains supernatural powers after a meteor shower and must decide what to do with them."
Tomodachi Game,anime,"thriller, psychological, game","thrilling, psychological, twisty, gripping, tense",High school students play a deadly psychological game where trust means everything.,"tense, psychological, gripping, twisty","psychological thriller, trust and betrayal, mind games","thrilling, psychological, twisty, gripping, tense tense, psychological, gripping, twisty psychological thriller, trust and betrayal, mind games High school students play a deadly psychological game where trust means everything."
Death Parade,anime,"psychological, drama, supernatural","fun, emotional, philosophical, wave of emotions, deep",Strangers in an afterlife bar play games that determine their fate after death.,"philosophical, emotional, wave of emotions, fun","philosophical anime, life and death themes, emotional depth","fun, emotional, philosophical, wave of emotions, deep philosophical, emotional, wave of emotions, fun philosophical anime, life and death themes, emotional depth Strangers in an afterlife bar play games that determine their fate after death."
Paprika,movie,"psychological, surreal, sci-fi","confusing, surreal, beautiful, mind-bending, musical",A detective enters a dream machine and reality begins to blur in a surreal psychological journey.,"surreal, confusing, beautiful, mind-bending","mind-bending surreal anime, beautiful visuals, Satoshi Kon films","confusing, surreal, beautiful, mind-bending, musical surreal, confusing, beautiful, mind-bending mind-bending surreal anime, beautiful visuals, Satoshi Kon films A detective enters a dream machine and reality begins to blur in a surreal psychological journey."
Summertime Rendering,anime,"mystery, thriller, supernatural","gripping, mysterious, emotional, satisfying, engaging",A boy investigates mysterious disappearances on a small island and uncovers a dark conspiracy.,"gripping, mysterious, satisfying, emotional","mystery thriller, island setting, supernatural conspiracy","gripping, mysterious, emotional, satisfying, engaging gripping, mysterious, satisfying, emotional mystery thriller, island setting, supernatural conspiracy A boy investigates mysterious disappearances on a small island and uncovers a dark conspiracy."
Orb on Movement of Earth,anime,"historical, sci-fi, drama","confusing, deep, historical, emotional, complex",Over 100 years a group of people map the movement of the earth in feudal Japan.,"complex, confusing, deep, emotional","historical drama, complex storytelling, slow burn","confusing, deep, historical, emotional, complex complex, confusing, deep, emotional historical drama, complex storytelling, slow burn Over 100 years a group of people map the movement of the earth in feudal Japan."
Takopi,anime,"dark, tragedy, emotional","sad, dark, emotional, heavy, tragic",A dark story about a child navigating abuse and tragedy with heavy emotional weight.,"tragic, sad, dark, heavy","emotional healing content, something warm and gentle after","sad, dark, emotional, heavy, tragic tragic, sad, dark, heavy emotional healing content, something warm and gentle after A dark story about a child navigating abuse and tragedy with heavy emotional weight."
Josee and the Tiger,movie,"romance, drama, disability","cute, warm, emotional, heartwarming, beautiful",A girl with a disability dreams of swimming and finds love and courage through connection.,"warm, cute, heartwarming, emotional","warm romance, emotional drama, beautiful animation","cute, warm, emotional, heartwarming, beautiful warm, cute, heartwarming, emotional warm romance, emotional drama, beautiful animation A girl with a disability dreams of swimming and finds love and courage through connection."
Gachiakuta,anime,"action, dark, fantasy","dark, gritty, intense, action, engaging",An outcast boy enters a brutal underground world fighting for survival and identity.,"dark, gritty, intense, action","dark action, gritty underground, survival and identity","dark, gritty, intense, action, engaging dark, gritty, intense, action dark action, gritty underground, survival and identity An outcast boy enters a brutal underground world fighting for survival and identity."
Classroom of the Elite,anime,"psychological, drama, competition","intense, psychological, competitive, entertaining, gripping",Students at an elite school compete in a psychological battle for status and resources.,"intense, psychological, entertaining, competitive","psychological competition, mind games, elite school drama","intense, psychological, competitive, entertaining, gripping intense, psychological, entertaining, competitive psychological competition, mind games, elite school drama Students at an elite school compete in a psychological battle for status and resources."
Bungo Stray Dogs,anime,"action, supernatural, mystery","fun, action, mystery, good characters, engaging",Gifted individuals with supernatural powers work as detectives and fight rival organizations.,"fun, engaging, mysterious, action","supernatural action, mystery, strong character dynamics","fun, action, mystery, good characters, engaging fun, engaging, mysterious, action supernatural action, mystery, strong character dynamics Gifted individuals with supernatural powers work as detectives and fight rival organizations."
Solo Leveling,anime,"action, fantasy","action, entertaining, fantasy, power, easy watch",A young man awakens as the world's strongest hunter in a world of monsters and dungeons.,"entertaining, action, fantasy, easy","power fantasy, dungeon action, easy entertaining watch","action, entertaining, fantasy, power, easy watch entertaining, action, fantasy, easy power fantasy, dungeon action, easy entertaining watch A young man awakens as the world's strongest hunter in a world of monsters and dungeons."
Uzumaki,anime,"horror, psychological, body","horrifying, psychological, dark, unsettling, body horror",A town is consumed by a spiral curse leading to grotesque and terrifying body horror.,"horrifying, psychological, dark, unsettling","body horror, Junji Ito works, psychological terror","horrifying, psychological, dark, unsettling, body horror horrifying, psychological, dark, unsettling body horror, Junji Ito works, psychological terror A town is consumed by a spiral curse leading to grotesque and terrifying body horror."
Junji Ito Collection,anime,"horror, anthology","scary, creepy, dark, anthology, chilling",An anthology of Junji Ito's most terrifying horror stories brought to life in animation.,"scary, creepy, dark, chilling","psychological horror, dark anthology, body horror","scary, creepy, dark, anthology, chilling scary, creepy, dark, chilling psychological horror, dark anthology, body horror An anthology of Junji Ito's most terrifying horror stories brought to life in animation."
Tokyo Ghoul,anime,"action, dark, supernatural","dark, intense, emotional, identity, action",A boy becomes a half-ghoul after a chance encounter and struggles between two worlds.,"dark, emotional, intense, conflicted","dark supernatural, identity crisis, action heavy","dark, intense, emotional, identity, action dark, emotional, intense, conflicted dark supernatural, identity crisis, action heavy A boy becomes a half-ghoul after a chance encounter and struggles between two worlds."
Demon Slayer,anime,"action, adventure, emotional","emotional, beautiful, intense, action, stunning",A boy and his sister fight demons using breath techniques in feudal Japan with stunning animation.,"emotional, beautiful, stunning, intense","beautiful animation, emotional action, stunning visuals","emotional, beautiful, intense, action, stunning emotional, beautiful, stunning, intense beautiful animation, emotional action, stunning visuals A boy and his sister fight demons using breath techniques in feudal Japan with stunning animation."
Kakegurui,anime,"psychological, thriller, gambling","psychological, intense, gambling, dark, thrilling",Students gamble with their lives and sanity in a school ruled entirely by risk and reward.,"dark, intense, psychological, thrilling","gambling thriller, psychological intensity, dark competition","psychological, intense, gambling, dark, thrilling dark, intense, psychological, thrilling gambling thriller, psychological intensity, dark competition Students gamble with their lives and sanity in a school ruled entirely by risk and reward."
Hell's Paradise,anime,"action, dark, supernatural","dark, intense, emotional, stunning, action",A samurai and a criminal navigate a brutal paradise island filled with demons and death.,"stunning, dark, intense, emotional","dark action, stunning animation, supernatural survival","dark, intense, emotional, stunning, action stunning, dark, intense, emotional dark action, stunning animation, supernatural survival A samurai and a criminal navigate a brutal paradise island filled with demons and death."
Tokyo Revengers,anime,"action, drama, time travel","emotional, action, time travel, gripping, dramatic",A boy travels back in time repeatedly trying to save his friends from a deadly gang.,"emotional, gripping, dramatic, intense","time travel drama, emotional action, gripping story","emotional, action, time travel, gripping, dramatic emotional, gripping, dramatic, intense time travel drama, emotional action, gripping story A boy travels back in time repeatedly trying to save his friends from a deadly gang."
Noragami,anime,"action, supernatural, comedy","fun, entertaining, cute, lighthearted, supernatural",A minor deity without a shrine takes on odd jobs for five yen while trying to make a name for himself alongside a human girl and his weapon.,"fun, warm, lighthearted, entertaining, cute","fun supernatural anime, lighthearted action, charming characters",
